internal_id,,,diameter_min,diameter_max,height,table_size,crown_angle,pavilion_angle,star_length,lower_half,girdle_thickness_number,girdle_min_number,girdle_max_number,culet_size,crown_height,pavilion_depth,total_depth,table_size_rounded,crown_angle_rounded,pavilion_angle_rounded,star_length_rounded,lower_half_rounded,girdle_thickness_rounded,girdle_min_grade,girdle_max_grade,culet_size_description,crown_height_rounded,pavilion_depth_rounded,total_depth_rounded,sarine_cut_pre_polish_symmetry,sarine_symmetry,roundness,roundness_grade,table_size_dev,table_size_dev_grade,crown_angle_dev,crown_angle_dev_grade,pavilion_angle_dev,pavilion_angle_dev_grade,star_length_dev,star_length_dev_grade,lower_half_dev,lower_half_dev_grade,girdle_thick_dev,girdle_thick_dev_grade,crown_height_dev,crown_height_dev_grade,pavilion_depth_dev,pavilion_depth_dev_grade,misalignment,misalignment_grade,table_edge_var,table_edge_var_grade,table_off_center,table_off_center_grade,culet_off_center,culet_off_center_grade,table_off_culet,table_off_culet_grade,star_angle,star_angle_grade,upper_half_angle,upper_half_angle_grade,lower_half_angle,lower_half_angle_grade,remarks
1,Round,0.093,2.9,2.92,1.774,58.4,33.59,40.93,44.6,79.8,3.98,1.85,2.78,0.52,13.84,43.1,60.92,58,33.5,41,45,80,4,MED,STK,None / Very Small,14,43,60.9,EX,VG,0.9,EX,0.6,EX,1,EX,0.9,EX,3.9,EX,3.2,EX,0.5,EX,0.7,EX,0.7,EX,1.9,VG,3.6,VG,0.3,EX,0.5,EX,0.5,EX,2.5,EX,1.2,EX,0.8,EX,
5,Round,0.096,2.92,2.97,1.754,61.6,34.48,40.31,46.3,79.5,4.11,1.8,3.74,0.85,13.21,42.15,59.58,62,34.5,40.4,45,80,4,MED,THK,None / Very Small,13,42,59.6,GD,GD,1.6,VG,1.5,VG,1.3,VG,1.1,VG,4.7,EX,5.5,EX,0.7,EX,1.4,VG,1.4,VG,4,GD,2.9,VG,0.6,EX,1.2,VG,1.7,VG,5.8,VG,4.9,EX,1.2,EX,
6,Round,0.09,2.86,2.9,1.772,60.2,34.75,41.89,51,74.3,3.09,0.69,2.08,0.59,13.85,44.53,61.51,60,35,41.8,50,75,3,ETN to VTN,STK,None / Very Small,14,44.5,61.5,VG,VG,1.3,VG,1,EX,0.6,EX,1,VG,6.3,EX,3.2,EX,1.4,VG,1,EX,1.4,VG,1.8,VG,1.8,EX,0.5,EX,1.2,VG,1.7,VG,2.6,EX,2.9,EX,1.3,EX,
7,Round,0.092,2.94,2.97,1.717,62.2,33.2,40.51,48.1,75.7,3.39,1.08,2.27,0.74,12.46,42.25,58.12,62,33,40.6,50,75,3.5,THN,STK,None / Very Small,12.5,42.5,58.1,VG,GD,0.8,EX,1.1,EX,1.8,VG,1.1,VG,7.2,EX,7.4,VG,0.9,EX,2,VG,1.4,VG,4.1,GD,3.7,VG,1.1,VG,0.6,EX,1.3,VG,3.4,EX,2.4,EX,1.1,EX,
8,Round,0.097,2.92,2.95,1.803,58.4,33.69,41.04,47.1,79.4,4.26,2.42,3.41,0.54,13.9,43.26,61.41,58,33.5,41,45,80,4.5,STK,THK,None / Very Small,14,43.5,61.4,VG,VG,1.1,VG,0.6,EX,0.8,EX,1.4,VG,4.3,EX,1.8,EX,0.8,EX,1.4,VG,1.7,VG,2,VG,2.1,EX,0.6,EX,0.9,VG,1.1,VG,1.8,EX,2.6,EX,1.6,EX,
9,Round,0.09,2.87,2.88,1.784,57.2,33.18,41.63,47.1,80.5,3.97,1.88,3.38,0.7,13.97,44.13,62.14,57,33,41.6,45,80,4,MED,THK,None / Very Small,14,44,62.1,VG,GD,0.4,EX,1.3,VG,0.5,EX,2.1,GD,5.1,EX,1.3,EX,1.1,EX,1.7,VG,2.1,VG,3.5,GD,2.3,EX,1.1,VG,1.2,VG,2,GD,2.5,EX,1.5,EX,2.1,VG,
10,Round,0.097,2.91,2.94,1.818,60.5,37.18,41.2,47.7,75.7,3.93,1.98,3.38,0.62,14.77,43.45,62.15,61,37,41.2,50,75,4,MED,THK,None / Very Small,15,43.5,62.2,GD,VG,0.9,EX,0.4,EX,1.7,VG,0.6,EX,4.4,EX,1.6,EX,0.8,EX,0.7,EX,0.7,EX,1.9,VG,1.8,EX,0.5,EX,0.2,EX,0.2,EX,3.4,EX,2.7,EX,0.7,EX,
11,Round,0.094,2.85,2.88,1.823,58.5,36.38,41.49,46.3,78.7,4.36,2.34,3.21,0.8,15.28,43.81,63.59,59,36.5,41.4,45,80,4.5,STK,THK,None / Very Small,15.5,44,63.6,VG,GD,1,VG,0.8,EX,0.9,EX,2.1,GD,4,EX,3,EX,1,EX,0.7,EX,0.3,EX,2.6,VG,2.1,EX,0.1,EX,2.2,GD,2.1,GD,1.5,EX,2.1,EX,2.5,VG,
12,Round,0.091,2.88,2.9,1.778,59.1,34.31,41.48,45.5,76.6,3.6,1.56,2.56,0.69,14,43.85,61.48,59,34.5,41.4,45,75,3.5,MED,STK,None / Very Small,14,44,61.5,EX,VG,0.8,EX,2.3,VG,0.6,EX,0.4,EX,3.6,EX,4.2,EX,0.5,EX,1,EX,0.7,EX,2.8,VG,2.1,EX,0.6,EX,0.6,EX,1.2,VG,2,EX,4.1,EX,0.5,EX,
21,Round,0.093,2.9,2.92,1.786,56.5,34.14,40.89,49.2,76,3.71,1.58,2.54,0.65,14.7,42.89,61.33,57,34,40.8,50,75,3.5,MED,STK,None / Very Small,14.5,43,61.3,EX,VG,0.6,EX,1,EX,0.5,EX,0.1,EX,5.2,EX,2.7,EX,0.8,EX,0.7,EX,0.7,EX,2.5,VG,2.2,EX,0.2,EX,0.1,EX,0.2,EX,2,EX,1.3,EX,0.2,EX,
