internal_id,basic_final_polish,gw_polish,diameter_min,diameter_max,height,table_size,crown_angle,pavilion_angle,star_length,lower_half,girdle_thick,girdle_min,girdle_max,culet_size,crown_height,pavilion_depth,total_depth,table_size_pct,table_size_pct_grade,crown_angle_degree,crown_angle_degree_grade,pavilion_angle_degree,pavilion_angle_degree_grade,star_length_pct,star_length_pct_grade,lower_half_pct,lower_half_pct_grade,girdle_thick_pct,girdle_thick_pct_grade,girdle_min_description,girdle_max_description,girdle_grade,culet_size_description,crown_height_pct,crown_height_pct_grade,pavilion_depth_pct,total_depth_pct,total_depth_pct_grade,individual_cut_grade,est_table_cut_grade,gradia_cut,final_gradia_cut,final_sarine_cut,gw_cut,sarine_cut,sarine_symmetry,gw_symmetry,roundness,roundness_grade,table_size_dev,table_size_dev_grade,crown_angle_dev,crown_angle_dev_grade,pavilion_angle_dev,pavilion_angle_dev_grade,star_length_dev,star_length_dev_grade,lower_half_dev,lower_half_dev_grade,girdle_thick_dev,girdle_thick_dev_grade,crown_height_dev,crown_height_dev_grade,pavilion_depth_dev,pavilion_depth_dev_grade,misalignment,misalignment_grade,table_edge_var,table_edge_var_grade,table_off_center,table_off_center_grade,culet_off_center,culet_off_center_grade,table_off_culet,table_off_culet_grade,star_angle,star_angle_grade,upper_half_angle,upper_half_angle_grade,lower_half_angle,lower_half_angle_grade,remarks
1,EX,VG,2.9,2.92,1.774,58.4,33.59,40.93,44.6,79.8,3.98,1.85,2.78,0.52,13.84,43.1,60.92,58,EX,33.5,EX,41,EX,45,EX,80,EX,4,EX,MED,STK,EX,None / Very Small,14,EX,43,60.9,EX,EX,EX,EX,EX,EX,EX,EX,VG,VG,0.9,EX,0.6,EX,1,EX,0.9,EX,3.9,EX,3.2,EX,0.5,EX,0.7,EX,0.7,EX,1.9,VG,3.6,VG,0.3,EX,0.5,EX,0.5,EX,2.5,EX,1.2,EX,0.8,EX,
4,VG,VG,2.82,2.84,1.776,60.5,35.44,41.66,49.1,73.9,4.27,1.76,3.32,0.64,14.08,44.23,62.69,61,EX,35.5,EX,41.6,EX,50,EX,75,EX,4.5,EX,MED,THK,VG,None / Very Small,14,EX,44,62.7,EX,VG,VG,VG,VG,VG,VG,VG,VG,VG,0.7,EX,0.4,EX,0.4,EX,0.4,EX,7,EX,3.9,EX,0.8,EX,0.7,EX,1.1,EX,2.7,VG,2.5,EX,0.5,EX,0.3,EX,0.8,EX,2.4,EX,0.6,EX,0.6,EX,
2,VG,GD,2.87,2.88,1.811,57.5,34.46,41.76,45.3,77.7,4.03,1.53,3.55,0.59,14.53,44.23,62.97,58,EX,34.5,EX,41.8,EX,45,EX,80,EX,4,EX,MED,THK,VG,None / Very Small,14.5,EX,44,63,EX,VG,VG,VG,VG,VG,VG,VG,GD,GD,0.6,EX,1.6,VG,1.5,VG,0.6,EX,7.5,EX,5.7,EX,1.4,VG,1.4,VG,1.7,VG,3.2,GD,2.7,EX,1.2,VG,0.9,VG,1.8,VG,1.7,EX,3.3,EX,0.7,EX,
3,VG,VG,2.84,2.87,1.798,59.2,35.24,41.39,46.6,77.3,5.01,2.73,3.64,0.7,14.28,43.61,62.93,59,EX,35,EX,41.4,EX,45,EX,75,EX,5,VG,STK,THK,VG,None / Very Small,14.5,EX,43.5,62.9,EX,VG,EX,VG,VG,VG,VG,VG,VG,VG,1,VG,1,EX,0.9,EX,0.6,EX,7.4,EX,3.4,EX,0.7,EX,0.7,EX,0.7,EX,2.6,VG,2.2,EX,0.2,EX,0.4,EX,0.5,EX,1.5,EX,1.1,EX,1,EX,
5,VG,VG,2.92,2.97,1.754,61.6,34.48,40.31,46.3,79.5,4.11,1.8,3.74,0.85,13.21,42.15,59.58,62,EX,34.5,EX,40.4,VG,45,EX,80,EX,4,EX,MED,THK,VG,None / Very Small,13,EX,42,59.6,EX,VG,GD,GD,GD,GD,VG,GD,GD,VG,1.6,VG,1.5,VG,1.3,VG,1.1,VG,4.7,EX,5.5,EX,0.7,EX,1.4,VG,1.4,VG,4,GD,2.9,VG,0.6,EX,1.2,VG,1.7,VG,5.8,VG,4.9,EX,1.2,EX,
6,VG,VG,2.86,2.9,1.772,60.2,34.75,41.89,51,74.3,3.09,0.69,2.08,0.59,13.85,44.53,61.51,60,EX,35,EX,41.8,EX,50,EX,75,EX,3,EX,ETN to VTN,STK,VG,None / Very Small,14,EX,44.5,61.5,EX,VG,VG,VG,VG,VG,VG,VG,VG,VG,1.3,VG,1,EX,0.6,EX,1,VG,6.3,EX,3.2,EX,1.4,VG,1,EX,1.4,VG,1.8,VG,1.8,EX,0.5,EX,1.2,VG,1.7,VG,2.6,EX,2.9,EX,1.3,EX,
7,VG,VG,2.94,2.97,1.717,62.2,33.2,40.51,48.1,75.7,3.39,1.08,2.27,0.74,12.46,42.25,58.12,62,EX,33,EX,40.6,EX,50,EX,75,EX,3.5,EX,THN,STK,EX,None / Very Small,12.5,EX,42.5,58.1,EX,EX,VG,VG,VG,VG,VG,VG,GD,GD,0.8,EX,1.1,EX,1.8,VG,1.1,VG,7.2,EX,7.4,VG,0.9,EX,2,VG,1.4,VG,4.1,GD,3.7,VG,1.1,VG,0.6,EX,1.3,VG,3.4,EX,2.4,EX,1.1,EX,
8,EX,VG,2.92,2.95,1.803,58.4,33.69,41.04,47.1,79.4,4.26,2.42,3.41,0.54,13.9,43.26,61.41,58,EX,33.5,EX,41,EX,45,EX,80,EX,4.5,EX,STK,THK,VG,None / Very Small,14,EX,43.5,61.4,EX,VG,EX,VG,VG,VG,EX,VG,VG,VG,1.1,VG,0.6,EX,0.8,EX,1.4,VG,4.3,EX,1.8,EX,0.8,EX,1.4,VG,1.7,VG,2,VG,2.1,EX,0.6,EX,0.9,VG,1.1,VG,1.8,EX,2.6,EX,1.6,EX,
9,VG,VG,2.87,2.88,1.784,57.2,33.18,41.63,47.1,80.5,3.97,1.88,3.38,0.7,13.97,44.13,62.14,57,EX,33,EX,41.6,EX,45,EX,80,EX,4,EX,MED,THK,VG,None / Very Small,14,EX,44,62.1,EX,VG,EX,VG,VG,VG,VG,VG,GD,GD,0.4,EX,1.3,VG,0.5,EX,2.1,GD,5.1,EX,1.3,EX,1.1,EX,1.7,VG,2.1,VG,3.5,GD,2.3,EX,1.1,VG,1.2,VG,2,GD,2.5,EX,1.5,EX,2.1,VG,
10,VG,VG,2.91,2.94,1.818,60.5,37.18,41.2,47.7,75.7,3.93,1.98,3.38,0.62,14.77,43.45,62.15,61,EX,37,VG,41.2,EX,50,EX,75,EX,4,EX,MED,THK,VG,None / Very Small,15,EX,43.5,62.2,EX,VG,GD,GD,GD,GD,GD,GD,VG,VG,0.9,EX,0.4,EX,1.7,VG,0.6,EX,4.4,EX,1.6,EX,0.8,EX,0.7,EX,0.7,EX,1.9,VG,1.8,EX,0.5,EX,0.2,EX,0.2,EX,3.4,EX,2.7,EX,0.7,EX,
